query_name,query_string,date_filter,field_of_study,license_type,group,non-oa,open_access,total
All,"(author.affiliation.name:(""pfizer"" OR ""astrazeneca"" OR ""eli lilly"" OR ""merck"" OR ""emd serono"" OR ""msd"" OR ""merck sharp & dohme"" OR ""bristol myers squibb"" OR ""novartis"" OR ""roche"" OR ""hoffmann-la roche"" OR ""genentech"" OR ""johnson & johnson"" OR ""janssen"" OR ""biosense webster"" OR ""glaxosmithkline"" OR ""gsk"" OR ""abbvie"" OR ""sanofi"" OR ""sanofi-aventis"" OR ""gilead sciences"" OR ""takeda"" OR ""boehringer ingelheim"" OR ""myokardia"" OR ""amgen"" OR ""applied molecular genetics"" OR ""bayer"" OR ""vertex pharmaceuticals"" OR ""regeneron"" OR ""novo nordisk"" OR ""biogen"" OR ""biogen idec"" OR ""daiichi sankyo"" OR ""astellas pharma"" OR ""asuterasu seiyaku kabushiki-gaisha"" OR ""otsuka"" OR ""otsuka seiyaku kabushiki-gaisha"" OR ""astex pharmaceuticals"" OR ""ucb"" OR ""union chimique belge"" OR ""moderna"" OR ""eisai"" OR ""ezai kabushiki-gaisha"" OR ""ea pharma"" OR ""csl"" OR ""zlb behring"" OR ""jiangsu hengrui medicine"" OR ""teva pharmaceuticals"" OR ""sumitomo dainippon pharma"" OR ""dainippon sumitomo seiyaku kabushiki-gaisha"" OR ""fresenius"" OR ""fresenius se & co. kgaa"" OR ""viatris"" OR ""kyowa kirin"" OR ""kyowa hakko kirin"" OR ""ipsen"" OR ""jazz pharmaceuticals"" OR ""azur pharma"" OR ""sino biopharm"" OR ""bausch health companies"" OR ""valeant pharmaceuticals"" OR ""cspc pharmaceutical group"" OR ""galapagos"" OR ""galapagos genomics"" NOT ""La Roche College"") OR author.affiliation.ror_id_lineage:(""01xdqrp08"" OR ""00by1q217"" OR ""04b2dty93"" OR ""02891sr49"" OR ""03qd7mz70"" OR ""00gtmwv55"" OR ""02f9zrr09"" OR ""04r9x1a08"" OR ""01qat3289"" OR ""01xsqw823"" OR ""02g5p4n58"" OR ""02n6c9837"" OR ""056546b03"" OR ""04hjbmv12"" OR ""00q32j219"" OR ""03g03ge92"" OR ""04hmn8g73"" OR ""00anb1726"" OR ""02f51rf24"" OR ""0435rc536"" OR ""02jqkb192"" OR ""027y26122"" OR ""01cjash87"" OR ""013k5y296"" OR ""01n029866"" OR ""01xm4wg91"" OR ""04vvh7p27"" OR ""044tc0x05"" OR ""04ayvvz32"" OR ""01wfv3m53"" OR ""04sapgw72"" OR ""01v376g59"" OR ""01g1gvr46"" OR ""000wej815"" OR ""00d801g55"" OR ""055mhsv54"" OR ""0086q4c12"" OR ""01zgpn844"" OR ""016mq8947"" OR ""04e4j5d46"")) AND publication_type:""journal article"" AND date_published>=now-10y",AND date_published>=now-10y,NA,NA,pharma,65838,106595,172433
primary search (medicine or internal medicine or pharmacology),"(author.affiliation.name:(""pfizer"" OR ""astrazeneca"" OR ""eli lilly"" OR ""merck"" OR ""emd serono"" OR ""msd"" OR ""merck sharp & dohme"" OR ""bristol myers squibb"" OR ""novartis"" OR ""roche"" OR ""hoffmann-la roche"" OR ""genentech"" OR ""johnson & johnson"" OR ""janssen"" OR ""biosense webster"" OR ""glaxosmithkline"" OR ""gsk"" OR ""abbvie"" OR ""sanofi"" OR ""sanofi-aventis"" OR ""gilead sciences"" OR ""takeda"" OR ""boehringer ingelheim"" OR ""myokardia"" OR ""amgen"" OR ""applied molecular genetics"" OR ""bayer"" OR ""vertex pharmaceuticals"" OR ""regeneron"" OR ""novo nordisk"" OR ""biogen"" OR ""biogen idec"" OR ""daiichi sankyo"" OR ""astellas pharma"" OR ""asuterasu seiyaku kabushiki-gaisha"" OR ""otsuka"" OR ""otsuka seiyaku kabushiki-gaisha"" OR ""astex pharmaceuticals"" OR ""ucb"" OR ""union chimique belge"" OR ""moderna"" OR ""eisai"" OR ""ezai kabushiki-gaisha"" OR ""ea pharma"" OR ""csl"" OR ""zlb behring"" OR ""jiangsu hengrui medicine"" OR ""teva pharmaceuticals"" OR ""sumitomo dainippon pharma"" OR ""dainippon sumitomo seiyaku kabushiki-gaisha"" OR ""fresenius"" OR ""fresenius se & co. kgaa"" OR ""viatris"" OR ""kyowa kirin"" OR ""kyowa hakko kirin"" OR ""ipsen"" OR ""jazz pharmaceuticals"" OR ""azur pharma"" OR ""sino biopharm"" OR ""bausch health companies"" OR ""valeant pharmaceuticals"" OR ""cspc pharmaceutical group"" OR ""galapagos"" OR ""galapagos genomics"" NOT ""La Roche College"") OR author.affiliation.ror_id_lineage:(""01xdqrp08"" OR ""00by1q217"" OR ""04b2dty93"" OR ""02891sr49"" OR ""03qd7mz70"" OR ""00gtmwv55"" OR ""02f9zrr09"" OR ""04r9x1a08"" OR ""01qat3289"" OR ""01xsqw823"" OR ""02g5p4n58"" OR ""02n6c9837"" OR ""056546b03"" OR ""04hjbmv12"" OR ""00q32j219"" OR ""03g03ge92"" OR ""04hmn8g73"" OR ""00anb1726"" OR ""02f51rf24"" OR ""0435rc536"" OR ""02jqkb192"" OR ""027y26122"" OR ""01cjash87"" OR ""013k5y296"" OR ""01n029866"" OR ""01xm4wg91"" OR ""04vvh7p27"" OR ""044tc0x05"" OR ""04ayvvz32"" OR ""01wfv3m53"" OR ""04sapgw72"" OR ""01v376g59"" OR ""01g1gvr46"" OR ""000wej815"" OR ""00d801g55"" OR ""055mhsv54"" OR ""0086q4c12"" OR ""01zgpn844"" OR ""016mq8947"" OR ""04e4j5d46"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")",AND date_published>=now-10y,"AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")",NA,pharma,40120,70729,110849
pharmacology NOT medicine or internal medicine,"(author.affiliation.name:(""pfizer"" OR ""astrazeneca"" OR ""eli lilly"" OR ""merck"" OR ""emd serono"" OR ""msd"" OR ""merck sharp & dohme"" OR ""bristol myers squibb"" OR ""novartis"" OR ""roche"" OR ""hoffmann-la roche"" OR ""genentech"" OR ""johnson & johnson"" OR ""janssen"" OR ""biosense webster"" OR ""glaxosmithkline"" OR ""gsk"" OR ""abbvie"" OR ""sanofi"" OR ""sanofi-aventis"" OR ""gilead sciences"" OR ""takeda"" OR ""boehringer ingelheim"" OR ""myokardia"" OR ""amgen"" OR ""applied molecular genetics"" OR ""bayer"" OR ""vertex pharmaceuticals"" OR ""regeneron"" OR ""novo nordisk"" OR ""biogen"" OR ""biogen idec"" OR ""daiichi sankyo"" OR ""astellas pharma"" OR ""asuterasu seiyaku kabushiki-gaisha"" OR ""otsuka"" OR ""otsuka seiyaku kabushiki-gaisha"" OR ""astex pharmaceuticals"" OR ""ucb"" OR ""union chimique belge"" OR ""moderna"" OR ""eisai"" OR ""ezai kabushiki-gaisha"" OR ""ea pharma"" OR ""csl"" OR ""zlb behring"" OR ""jiangsu hengrui medicine"" OR ""teva pharmaceuticals"" OR ""sumitomo dainippon pharma"" OR ""dainippon sumitomo seiyaku kabushiki-gaisha"" OR ""fresenius"" OR ""fresenius se & co. kgaa"" OR ""viatris"" OR ""kyowa kirin"" OR ""kyowa hakko kirin"" OR ""ipsen"" OR ""jazz pharmaceuticals"" OR ""azur pharma"" OR ""sino biopharm"" OR ""bausch health companies"" OR ""valeant pharmaceuticals"" OR ""cspc pharmaceutical group"" OR ""galapagos"" OR ""galapagos genomics"" NOT ""La Roche College"") OR author.affiliation.ror_id_lineage:(""01xdqrp08"" OR ""00by1q217"" OR ""04b2dty93"" OR ""02891sr49"" OR ""03qd7mz70"" OR ""00gtmwv55"" OR ""02f9zrr09"" OR ""04r9x1a08"" OR ""01qat3289"" OR ""01xsqw823"" OR ""02g5p4n58"" OR ""02n6c9837"" OR ""056546b03"" OR ""04hjbmv12"" OR ""00q32j219"" OR ""03g03ge92"" OR ""04hmn8g73"" OR ""00anb1726"" OR ""02f51rf24"" OR ""0435rc536"" OR ""02jqkb192"" OR ""027y26122"" OR ""01cjash87"" OR ""013k5y296"" OR ""01n029866"" OR ""01xm4wg91"" OR ""04vvh7p27"" OR ""044tc0x05"" OR ""04ayvvz32"" OR ""01wfv3m53"" OR ""04sapgw72"" OR ""01v376g59"" OR ""01g1gvr46"" OR ""000wej815"" OR ""00d801g55"" OR ""055mhsv54"" OR ""0086q4c12"" OR ""01zgpn844"" OR ""016mq8947"" OR ""04e4j5d46"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Pharmacology"" NOT (""Medicine"" OR ""Internal medicine""))",AND date_published>=now-10y,"AND field_of_study: (""Pharmacology"" NOT (""Medicine"" OR ""Internal medicine""))",NA,pharma,2266,2310,4576
chemistry NOT primary search,"(author.affiliation.name:(""pfizer"" OR ""astrazeneca"" OR ""eli lilly"" OR ""merck"" OR ""emd serono"" OR ""msd"" OR ""merck sharp & dohme"" OR ""bristol myers squibb"" OR ""novartis"" OR ""roche"" OR ""hoffmann-la roche"" OR ""genentech"" OR ""johnson & johnson"" OR ""janssen"" OR ""biosense webster"" OR ""glaxosmithkline"" OR ""gsk"" OR ""abbvie"" OR ""sanofi"" OR ""sanofi-aventis"" OR ""gilead sciences"" OR ""takeda"" OR ""boehringer ingelheim"" OR ""myokardia"" OR ""amgen"" OR ""applied molecular genetics"" OR ""bayer"" OR ""vertex pharmaceuticals"" OR ""regeneron"" OR ""novo nordisk"" OR ""biogen"" OR ""biogen idec"" OR ""daiichi sankyo"" OR ""astellas pharma"" OR ""asuterasu seiyaku kabushiki-gaisha"" OR ""otsuka"" OR ""otsuka seiyaku kabushiki-gaisha"" OR ""astex pharmaceuticals"" OR ""ucb"" OR ""union chimique belge"" OR ""moderna"" OR ""eisai"" OR ""ezai kabushiki-gaisha"" OR ""ea pharma"" OR ""csl"" OR ""zlb behring"" OR ""jiangsu hengrui medicine"" OR ""teva pharmaceuticals"" OR ""sumitomo dainippon pharma"" OR ""dainippon sumitomo seiyaku kabushiki-gaisha"" OR ""fresenius"" OR ""fresenius se & co. kgaa"" OR ""viatris"" OR ""kyowa kirin"" OR ""kyowa hakko kirin"" OR ""ipsen"" OR ""jazz pharmaceuticals"" OR ""azur pharma"" OR ""sino biopharm"" OR ""bausch health companies"" OR ""valeant pharmaceuticals"" OR ""cspc pharmaceutical group"" OR ""galapagos"" OR ""galapagos genomics"" NOT ""La Roche College"") OR author.affiliation.ror_id_lineage:(""01xdqrp08"" OR ""00by1q217"" OR ""04b2dty93"" OR ""02891sr49"" OR ""03qd7mz70"" OR ""00gtmwv55"" OR ""02f9zrr09"" OR ""04r9x1a08"" OR ""01qat3289"" OR ""01xsqw823"" OR ""02g5p4n58"" OR ""02n6c9837"" OR ""056546b03"" OR ""04hjbmv12"" OR ""00q32j219"" OR ""03g03ge92"" OR ""04hmn8g73"" OR ""00anb1726"" OR ""02f51rf24"" OR ""0435rc536"" OR ""02jqkb192"" OR ""027y26122"" OR ""01cjash87"" OR ""013k5y296"" OR ""01n029866"" OR ""01xm4wg91"" OR ""04vvh7p27"" OR ""044tc0x05"" OR ""04ayvvz32"" OR ""01wfv3m53"" OR ""04sapgw72"" OR ""01v376g59"" OR ""01g1gvr46"" OR ""000wej815"" OR ""00d801g55"" OR ""055mhsv54"" OR ""0086q4c12"" OR ""01zgpn844"" OR ""016mq8947"" OR ""04e4j5d46"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Chemistry"" NOT (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology""))",AND date_published>=now-10y,"AND field_of_study: (""Chemistry"" NOT (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology""))",NA,pharma,11402,10690,22092
biology NOT primary search,"(author.affiliation.name:(""pfizer"" OR ""astrazeneca"" OR ""eli lilly"" OR ""merck"" OR ""emd serono"" OR ""msd"" OR ""merck sharp & dohme"" OR ""bristol myers squibb"" OR ""novartis"" OR ""roche"" OR ""hoffmann-la roche"" OR ""genentech"" OR ""johnson & johnson"" OR ""janssen"" OR ""biosense webster"" OR ""glaxosmithkline"" OR ""gsk"" OR ""abbvie"" OR ""sanofi"" OR ""sanofi-aventis"" OR ""gilead sciences"" OR ""takeda"" OR ""boehringer ingelheim"" OR ""myokardia"" OR ""amgen"" OR ""applied molecular genetics"" OR ""bayer"" OR ""vertex pharmaceuticals"" OR ""regeneron"" OR ""novo nordisk"" OR ""biogen"" OR ""biogen idec"" OR ""daiichi sankyo"" OR ""astellas pharma"" OR ""asuterasu seiyaku kabushiki-gaisha"" OR ""otsuka"" OR ""otsuka seiyaku kabushiki-gaisha"" OR ""astex pharmaceuticals"" OR ""ucb"" OR ""union chimique belge"" OR ""moderna"" OR ""eisai"" OR ""ezai kabushiki-gaisha"" OR ""ea pharma"" OR ""csl"" OR ""zlb behring"" OR ""jiangsu hengrui medicine"" OR ""teva pharmaceuticals"" OR ""sumitomo dainippon pharma"" OR ""dainippon sumitomo seiyaku kabushiki-gaisha"" OR ""fresenius"" OR ""fresenius se & co. kgaa"" OR ""viatris"" OR ""kyowa kirin"" OR ""kyowa hakko kirin"" OR ""ipsen"" OR ""jazz pharmaceuticals"" OR ""azur pharma"" OR ""sino biopharm"" OR ""bausch health companies"" OR ""valeant pharmaceuticals"" OR ""cspc pharmaceutical group"" OR ""galapagos"" OR ""galapagos genomics"" NOT ""La Roche College"") OR author.affiliation.ror_id_lineage:(""01xdqrp08"" OR ""00by1q217"" OR ""04b2dty93"" OR ""02891sr49"" OR ""03qd7mz70"" OR ""00gtmwv55"" OR ""02f9zrr09"" OR ""04r9x1a08"" OR ""01qat3289"" OR ""01xsqw823"" OR ""02g5p4n58"" OR ""02n6c9837"" OR ""056546b03"" OR ""04hjbmv12"" OR ""00q32j219"" OR ""03g03ge92"" OR ""04hmn8g73"" OR ""00anb1726"" OR ""02f51rf24"" OR ""0435rc536"" OR ""02jqkb192"" OR ""027y26122"" OR ""01cjash87"" OR ""013k5y296"" OR ""01n029866"" OR ""01xm4wg91"" OR ""04vvh7p27"" OR ""044tc0x05"" OR ""04ayvvz32"" OR ""01wfv3m53"" OR ""04sapgw72"" OR ""01v376g59"" OR ""01g1gvr46"" OR ""000wej815"" OR ""00d801g55"" OR ""055mhsv54"" OR ""0086q4c12"" OR ""01zgpn844"" OR ""016mq8947"" OR ""04e4j5d46"")) AND publication_type:""journal article"" AND date_published>=now-10y AND field_of_study: (""Biology"" NOT (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology""))",AND date_published>=now-10y,"AND field_of_study: (""Biology"" NOT (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology""))",NA,pharma,5205,15451,20656
All (12 - 24 months),"(author.affiliation.name:(""pfizer"" OR ""astrazeneca"" OR ""eli lilly"" OR ""merck"" OR ""emd serono"" OR ""msd"" OR ""merck sharp & dohme"" OR ""bristol myers squibb"" OR ""novartis"" OR ""roche"" OR ""hoffmann-la roche"" OR ""genentech"" OR ""johnson & johnson"" OR ""janssen"" OR ""biosense webster"" OR ""glaxosmithkline"" OR ""gsk"" OR ""abbvie"" OR ""sanofi"" OR ""sanofi-aventis"" OR ""gilead sciences"" OR ""takeda"" OR ""boehringer ingelheim"" OR ""myokardia"" OR ""amgen"" OR ""applied molecular genetics"" OR ""bayer"" OR ""vertex pharmaceuticals"" OR ""regeneron"" OR ""novo nordisk"" OR ""biogen"" OR ""biogen idec"" OR ""daiichi sankyo"" OR ""astellas pharma"" OR ""asuterasu seiyaku kabushiki-gaisha"" OR ""otsuka"" OR ""otsuka seiyaku kabushiki-gaisha"" OR ""astex pharmaceuticals"" OR ""ucb"" OR ""union chimique belge"" OR ""moderna"" OR ""eisai"" OR ""ezai kabushiki-gaisha"" OR ""ea pharma"" OR ""csl"" OR ""zlb behring"" OR ""jiangsu hengrui medicine"" OR ""teva pharmaceuticals"" OR ""sumitomo dainippon pharma"" OR ""dainippon sumitomo seiyaku kabushiki-gaisha"" OR ""fresenius"" OR ""fresenius se & co. kgaa"" OR ""viatris"" OR ""kyowa kirin"" OR ""kyowa hakko kirin"" OR ""ipsen"" OR ""jazz pharmaceuticals"" OR ""azur pharma"" OR ""sino biopharm"" OR ""bausch health companies"" OR ""valeant pharmaceuticals"" OR ""cspc pharmaceutical group"" OR ""galapagos"" OR ""galapagos genomics"" NOT ""La Roche College"") OR author.affiliation.ror_id_lineage:(""01xdqrp08"" OR ""00by1q217"" OR ""04b2dty93"" OR ""02891sr49"" OR ""03qd7mz70"" OR ""00gtmwv55"" OR ""02f9zrr09"" OR ""04r9x1a08"" OR ""01qat3289"" OR ""01xsqw823"" OR ""02g5p4n58"" OR ""02n6c9837"" OR ""056546b03"" OR ""04hjbmv12"" OR ""00q32j219"" OR ""03g03ge92"" OR ""04hmn8g73"" OR ""00anb1726"" OR ""02f51rf24"" OR ""0435rc536"" OR ""02jqkb192"" OR ""027y26122"" OR ""01cjash87"" OR ""013k5y296"" OR ""01n029866"" OR ""01xm4wg91"" OR ""04vvh7p27"" OR ""044tc0x05"" OR ""04ayvvz32"" OR ""01wfv3m53"" OR ""04sapgw72"" OR ""01v376g59"" OR ""01g1gvr46"" OR ""000wej815"" OR ""00d801g55"" OR ""055mhsv54"" OR ""0086q4c12"" OR ""01zgpn844"" OR ""016mq8947"" OR ""04e4j5d46"")) AND publication_type:""journal article"" AND date_published>=now-24M AND date_published<=now-12M",AND date_published>=now-24M AND date_published<=now-12M,NA,NA,pharma,5094,14244,19338
primary search (medicine or internal medicine or pharmacology) (12 - 24 months),"(author.affiliation.name:(""pfizer"" OR ""astrazeneca"" OR ""eli lilly"" OR ""merck"" OR ""emd serono"" OR ""msd"" OR ""merck sharp & dohme"" OR ""bristol myers squibb"" OR ""novartis"" OR ""roche"" OR ""hoffmann-la roche"" OR ""genentech"" OR ""johnson & johnson"" OR ""janssen"" OR ""biosense webster"" OR ""glaxosmithkline"" OR ""gsk"" OR ""abbvie"" OR ""sanofi"" OR ""sanofi-aventis"" OR ""gilead sciences"" OR ""takeda"" OR ""boehringer ingelheim"" OR ""myokardia"" OR ""amgen"" OR ""applied molecular genetics"" OR ""bayer"" OR ""vertex pharmaceuticals"" OR ""regeneron"" OR ""novo nordisk"" OR ""biogen"" OR ""biogen idec"" OR ""daiichi sankyo"" OR ""astellas pharma"" OR ""asuterasu seiyaku kabushiki-gaisha"" OR ""otsuka"" OR ""otsuka seiyaku kabushiki-gaisha"" OR ""astex pharmaceuticals"" OR ""ucb"" OR ""union chimique belge"" OR ""moderna"" OR ""eisai"" OR ""ezai kabushiki-gaisha"" OR ""ea pharma"" OR ""csl"" OR ""zlb behring"" OR ""jiangsu hengrui medicine"" OR ""teva pharmaceuticals"" OR ""sumitomo dainippon pharma"" OR ""dainippon sumitomo seiyaku kabushiki-gaisha"" OR ""fresenius"" OR ""fresenius se & co. kgaa"" OR ""viatris"" OR ""kyowa kirin"" OR ""kyowa hakko kirin"" OR ""ipsen"" OR ""jazz pharmaceuticals"" OR ""azur pharma"" OR ""sino biopharm"" OR ""bausch health companies"" OR ""valeant pharmaceuticals"" OR ""cspc pharmaceutical group"" OR ""galapagos"" OR ""galapagos genomics"" NOT ""La Roche College"") OR author.affiliation.ror_id_lineage:(""01xdqrp08"" OR ""00by1q217"" OR ""04b2dty93"" OR ""02891sr49"" OR ""03qd7mz70"" OR ""00gtmwv55"" OR ""02f9zrr09"" OR ""04r9x1a08"" OR ""01qat3289"" OR ""01xsqw823"" OR ""02g5p4n58"" OR ""02n6c9837"" OR ""056546b03"" OR ""04hjbmv12"" OR ""00q32j219"" OR ""03g03ge92"" OR ""04hmn8g73"" OR ""00anb1726"" OR ""02f51rf24"" OR ""0435rc536"" OR ""02jqkb192"" OR ""027y26122"" OR ""01cjash87"" OR ""013k5y296"" OR ""01n029866"" OR ""01xm4wg91"" OR ""04vvh7p27"" OR ""044tc0x05"" OR ""04ayvvz32"" OR ""01wfv3m53"" OR ""04sapgw72"" OR ""01v376g59"" OR ""01g1gvr46"" OR ""000wej815"" OR ""00d801g55"" OR ""055mhsv54"" OR ""0086q4c12"" OR ""01zgpn844"" OR ""016mq8947"" OR ""04e4j5d46"")) AND publication_type:""journal article"" AND date_published>=now-24M AND date_published<=now-12M AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")",AND date_published>=now-24M AND date_published<=now-12M,"AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")",NA,pharma,3254,10393,13647
primary search + unrestricted license (12 - 24 months),"(author.affiliation.name:(""pfizer"" OR ""astrazeneca"" OR ""eli lilly"" OR ""merck"" OR ""emd serono"" OR ""msd"" OR ""merck sharp & dohme"" OR ""bristol myers squibb"" OR ""novartis"" OR ""roche"" OR ""hoffmann-la roche"" OR ""genentech"" OR ""johnson & johnson"" OR ""janssen"" OR ""biosense webster"" OR ""glaxosmithkline"" OR ""gsk"" OR ""abbvie"" OR ""sanofi"" OR ""sanofi-aventis"" OR ""gilead sciences"" OR ""takeda"" OR ""boehringer ingelheim"" OR ""myokardia"" OR ""amgen"" OR ""applied molecular genetics"" OR ""bayer"" OR ""vertex pharmaceuticals"" OR ""regeneron"" OR ""novo nordisk"" OR ""biogen"" OR ""biogen idec"" OR ""daiichi sankyo"" OR ""astellas pharma"" OR ""asuterasu seiyaku kabushiki-gaisha"" OR ""otsuka"" OR ""otsuka seiyaku kabushiki-gaisha"" OR ""astex pharmaceuticals"" OR ""ucb"" OR ""union chimique belge"" OR ""moderna"" OR ""eisai"" OR ""ezai kabushiki-gaisha"" OR ""ea pharma"" OR ""csl"" OR ""zlb behring"" OR ""jiangsu hengrui medicine"" OR ""teva pharmaceuticals"" OR ""sumitomo dainippon pharma"" OR ""dainippon sumitomo seiyaku kabushiki-gaisha"" OR ""fresenius"" OR ""fresenius se & co. kgaa"" OR ""viatris"" OR ""kyowa kirin"" OR ""kyowa hakko kirin"" OR ""ipsen"" OR ""jazz pharmaceuticals"" OR ""azur pharma"" OR ""sino biopharm"" OR ""bausch health companies"" OR ""valeant pharmaceuticals"" OR ""cspc pharmaceutical group"" OR ""galapagos"" OR ""galapagos genomics"" NOT ""La Roche College"") OR author.affiliation.ror_id_lineage:(""01xdqrp08"" OR ""00by1q217"" OR ""04b2dty93"" OR ""02891sr49"" OR ""03qd7mz70"" OR ""00gtmwv55"" OR ""02f9zrr09"" OR ""04r9x1a08"" OR ""01qat3289"" OR ""01xsqw823"" OR ""02g5p4n58"" OR ""02n6c9837"" OR ""056546b03"" OR ""04hjbmv12"" OR ""00q32j219"" OR ""03g03ge92"" OR ""04hmn8g73"" OR ""00anb1726"" OR ""02f51rf24"" OR ""0435rc536"" OR ""02jqkb192"" OR ""027y26122"" OR ""01cjash87"" OR ""013k5y296"" OR ""01n029866"" OR ""01xm4wg91"" OR ""04vvh7p27"" OR ""044tc0x05"" OR ""04ayvvz32"" OR ""01wfv3m53"" OR ""04sapgw72"" OR ""01v376g59"" OR ""01g1gvr46"" OR ""000wej815"" OR ""00d801g55"" OR ""055mhsv54"" OR ""0086q4c12"" OR ""01zgpn844"" OR ""016mq8947"" OR ""04e4j5d46"")) AND publication_type:""journal article"" AND date_published>=now-24M AND date_published<=now-12M AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"") AND open_access.license:(*CC0* OR *cc0* OR (*Public* AND *domain*) OR ""pd"" OR *BY* OR *by* NOT (*NC* OR *ND* OR *SA* OR *nc* OR *nd* OR *sa*))",AND date_published>=now-24M AND date_published<=now-12M,"AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")","AND open_access.license:(*CC0* OR *cc0* OR (*Public* AND *domain*) OR ""pd"" OR *BY* OR *by* NOT (*NC* OR *ND* OR *SA* OR *nc* OR *nd* OR *sa*))",pharma,0,2764,2764
primary search + restricted license (12 - 24 months),"(author.affiliation.name:(""pfizer"" OR ""astrazeneca"" OR ""eli lilly"" OR ""merck"" OR ""emd serono"" OR ""msd"" OR ""merck sharp & dohme"" OR ""bristol myers squibb"" OR ""novartis"" OR ""roche"" OR ""hoffmann-la roche"" OR ""genentech"" OR ""johnson & johnson"" OR ""janssen"" OR ""biosense webster"" OR ""glaxosmithkline"" OR ""gsk"" OR ""abbvie"" OR ""sanofi"" OR ""sanofi-aventis"" OR ""gilead sciences"" OR ""takeda"" OR ""boehringer ingelheim"" OR ""myokardia"" OR ""amgen"" OR ""applied molecular genetics"" OR ""bayer"" OR ""vertex pharmaceuticals"" OR ""regeneron"" OR ""novo nordisk"" OR ""biogen"" OR ""biogen idec"" OR ""daiichi sankyo"" OR ""astellas pharma"" OR ""asuterasu seiyaku kabushiki-gaisha"" OR ""otsuka"" OR ""otsuka seiyaku kabushiki-gaisha"" OR ""astex pharmaceuticals"" OR ""ucb"" OR ""union chimique belge"" OR ""moderna"" OR ""eisai"" OR ""ezai kabushiki-gaisha"" OR ""ea pharma"" OR ""csl"" OR ""zlb behring"" OR ""jiangsu hengrui medicine"" OR ""teva pharmaceuticals"" OR ""sumitomo dainippon pharma"" OR ""dainippon sumitomo seiyaku kabushiki-gaisha"" OR ""fresenius"" OR ""fresenius se & co. kgaa"" OR ""viatris"" OR ""kyowa kirin"" OR ""kyowa hakko kirin"" OR ""ipsen"" OR ""jazz pharmaceuticals"" OR ""azur pharma"" OR ""sino biopharm"" OR ""bausch health companies"" OR ""valeant pharmaceuticals"" OR ""cspc pharmaceutical group"" OR ""galapagos"" OR ""galapagos genomics"" NOT ""La Roche College"") OR author.affiliation.ror_id_lineage:(""01xdqrp08"" OR ""00by1q217"" OR ""04b2dty93"" OR ""02891sr49"" OR ""03qd7mz70"" OR ""00gtmwv55"" OR ""02f9zrr09"" OR ""04r9x1a08"" OR ""01qat3289"" OR ""01xsqw823"" OR ""02g5p4n58"" OR ""02n6c9837"" OR ""056546b03"" OR ""04hjbmv12"" OR ""00q32j219"" OR ""03g03ge92"" OR ""04hmn8g73"" OR ""00anb1726"" OR ""02f51rf24"" OR ""0435rc536"" OR ""02jqkb192"" OR ""027y26122"" OR ""01cjash87"" OR ""013k5y296"" OR ""01n029866"" OR ""01xm4wg91"" OR ""04vvh7p27"" OR ""044tc0x05"" OR ""04ayvvz32"" OR ""01wfv3m53"" OR ""04sapgw72"" OR ""01v376g59"" OR ""01g1gvr46"" OR ""000wej815"" OR ""00d801g55"" OR ""055mhsv54"" OR ""0086q4c12"" OR ""01zgpn844"" OR ""016mq8947"" OR ""04e4j5d46"")) AND publication_type:""journal article"" AND date_published>=now-24M AND date_published<=now-12M AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"") AND open_access.license:((*BY* OR *by*) AND (*NC* OR *ND* OR *SA* OR *nc* OR *nd* OR *sa*))",AND date_published>=now-24M AND date_published<=now-12M,"AND field_of_study: (""Medicine"" OR ""Internal medicine"" OR ""Pharmacology"")",AND open_access.license:((*BY* OR *by*) AND (*NC* OR *ND* OR *SA* OR *nc* OR *nd* OR *sa*)),pharma,0,3790,3790
