group,oa_col,slope_colour_prc
Pharma,bronze,-0.3694494250878428
Pharma,gold,1.4474255685364525
Pharma,green,-2.1842876827860103
Pharma,hybrid,1.0266661784065838
Pharma,unknown,-0.004089693391834675
Uni,bronze,-0.8390549871494052
Uni,gold,2.1465368681081616
Uni,green,-2.5886703891508915
Uni,hybrid,0.9100563911844534
Uni,unknown,0.18336694317982927
